name,img,instagram,labels
TIESTO,https://www.beatstats.com/images/artist/large/4178.jpg?version=33065,https://www.instagram.com/tiesto,"['MUSICAL FREEDOM', 'SONY MUSIC CG', 'CAPITOL RECORDS', 'THREE SIX ZERO', 'MAGIK MUZIK', 'UNIVERSAL-ISLAND RECORDS....', 'TH3RD BRAIN', 'NITRON MUSIC', 'ATLANTIC RECORDS', 'INSOMNIAC RECORDS', 'ATLANTIC RECORDS UK', 'SWEDISH HOUSE MAFIA', 'ARISTA RECORDS', 'WM CANADA', 'TWISTED ELEGANCE', 'SONY MUSIC LATIN', 'SOLOTOKO', 'MAD DECENT / BECAUSE MUS....', 'THRIVE MUSIC']"
CLAPTONE,https://www.beatstats.com/images/artist/large/220730.jpg?version=52745,https://www.instagram.com/claptone,"['GOLDEN RECORDINGS', 'EMI', 'EXPLOITED', 'COUNTER RECORDS', 'UNIVERSAL MUSIC (PTY) LT....', 'UNIVERSAL MUSIC DIVISION....', 'WONDERWHEEL RECORDINGS', 'DIFFERENT']"
ENRICO SANGIULIANO,https://www.beatstats.com/images/artist/large/123787.jpg?version=57763,https://www.instagram.com/enrico_sangiuliano,"['NINETOZERO', 'DIKI RECORDS CLASSICS', 'DOG TRIUMPH PROFOUND MYS....']"
OLIVER HELDENS,https://www.beatstats.com/images/artist/large/314140.jpg?version=60175,https://www.instagram.com/oliver_heldens,"['EASIER SAID', 'ARMADA MUSIC', 'HELDEEP RECORDS', 'MINISTRY OF SOUND RECORD....', 'HILOMATIK', 'LIQUID STATE', 'SIGNATUNE', 'KANGAROOLI TRACKS/RCA RE....']"
HARDWELL,https://www.beatstats.com/images/artist/large/66652.jpg?version=61356,https://www.instagram.com/hardwell,"['REVEALED RECORDINGS', ""SPINNIN' RECORDS"", 'PARLOPHONE UK', 'NITRON MUSIC', 'HILOMATIK', 'FFRR']"
MACEO PLEX,https://www.beatstats.com/images/artist/large/119538.jpg?version=53934,https://www.instagram.com/maceo_plex,"['LONE ROMANTIC', 'MINISTRY OF SOUND RECORD....', 'BALANCE MUSIC', 'NATURA VIVA']"
UMEK,https://www.beatstats.com/images/artist/large/4177.jpg?version=37151,https://www.instagram.com/umek,"['1605', 'FILTH ON ACID', 'SKINT RECORDS', 'AGILE RECORDINGS', 'DRUMCODE']"
VINTAGE CULTURE,https://www.beatstats.com/images/artist/large/335498.jpg?version=7081,https://www.instagram.com/vintage_culture,"['VINTAGE CULTURE', ""SPINNIN' DEEP"", 'NOT TOO FANCY', 'DEFECTED', 'HIGHER GROUND', 'DRUMCODE', 'HOT CREATIONS', 'SHÈN RECORDINGS', 'BROKE', 'UPPERGROUND', 'MINE RECORDINGS', 'HELL BEACH', 'UNIVERSAL MUSIC LTDA.', 'REALM RECORDS']"
DAVID GUETTA,https://www.beatstats.com/images/artist/large/10631.jpg?version=6172,https://www.instagram.com/david_guetta,"[""SPINNIN' RECORDS"", 'PARLOPHONE UK', 'DEFECTED', 'RHINO', 'ARMADA MUSIC', 'NITRON MUSIC', 'HELL BEACH', 'FUTURE RAVE', 'WARNER MUSIC CENTRAL EUR....', 'SPINNIN RECORDS', 'UNIVERSAL MUSIC DIVISION....', 'MINISTRY OF SOUND RECORD....', 'EMPIRE', 'B1 RECORDINGS/MINISTRY O....', 'BIG BEAT RECORDS', ""F*** ME I'M FAMOUS"", 'WHAT A MUSIC', 'UPTOWN / REPUBLIC RECORD....', 'VIRGIN', 'SONY MUSIC LATIN', 'PARLOPHONE (FRANCE)', 'HOUSE OF HOUSE RECORDS']"
RIVA STARR,https://www.beatstats.com/images/artist/large/45465.jpg?version=63227,https://www.instagram.com/riva_starr,"['HEATTRAXX', 'SNATCH! RECORDS', 'DEFECTED', 'SKINT RECORDS', 'YOSHITOSHI RECORDINGS', 'PEPPERMINT JAM RECORDS', 'GLITTERBOX RECORDINGS', 'REKIDS', 'HOT CREATIONS', 'HIGHER GROUND', 'COLUMBIA (SONY)']"
LAYTON GIORDANI,https://www.beatstats.com/images/artist/large/374036.jpg?version=11947,https://www.instagram.com/layton_giordani,"['DRUMCODE', 'NERVOUS RECORDS', 'EXPERTS ONLY', 'THREE SIX ZERO RECORDING....', 'MAU5TRAP', 'FACTORY 93 RECORDS', 'ARMADA SUBJEKT']"
DOM DOLLA,https://www.beatstats.com/images/artist/large/271875.jpg?version=5360,https://www.instagram.com/dom_dolla,"['THREE SIX ZERO RECORDING....', 'COLUMBIA (SONY)', 'PARLOPHONE UK', 'SWEAT IT OUT']"
HUGEL,https://www.beatstats.com/images/artist/large/484708.jpg?version=43204,https://www.instagram.com/hugel,"['MAKE THE GIRLS DANCE REC....', 'HIGHER GROUND', 'VIRGIN', 'HUGEL', 'DEFECTED', 'UNION RECORDS (IT)', 'INSOMNIAC RECORDS', 'GLASGOW UNDERGROUND', 'CR2 RECORDS', 'WARNER MUSIC CENTRAL EUR....', 'CLUB SWEAT', 'BLACK BOOK RECORDS', 'SUPERGIANT RECORDS, LLC ....', 'ANOTHER RHYTHM', 'WM GERMANY']"
MARTIN IKIN,https://www.beatstats.com/images/artist/large/153990.jpg?version=48020,https://www.instagram.com/martin_ikin,"['TERMINAL UNDERGROUND', 'TOOLROOM', 'STEREOHYPE', 'ULTRA', 'BLACK BOOK RECORDS', 'INSOMNIAC RECORDS', 'ARMADA MUSIC', 'KNOW WHERE']"
DENNIS CRUZ,https://www.beatstats.com/images/artist/large/325252.jpg?version=21557,https://www.instagram.com/dennis_cruz,"['CROSSTOWN REBELS', 'SOLID GROOVES RECORDS', 'MOAN', 'MUSE']"
ELI BROWN,https://www.beatstats.com/images/artist/large/503102.jpg?version=52380,https://www.instagram.com/eli_brown,"['ARCANE MUSIC', 'POLYDOR RECORDS', 'DRUMCODE', 'FILTH ON ACID', 'FACTORY 93 RECORDS', 'HILOMATIK', 'ARMADA SUBJEKT']"
RAMPA,https://www.beatstats.com/images/artist/large/86455.jpg?version=35717,https://www.instagram.com/rampa,"['KEINEMUSIK', 'VOD', 'GENESIS (BECAUSE)', 'K7 RECORDS', 'DEFECTED', 'DISCOTEXAS', 'EMBASSY ONE']"
DAVID PENN,https://www.beatstats.com/images/artist/large/2355.jpg?version=47395,https://www.instagram.com/david_penn,"['TOOLROOM', 'DEFECTED', 'PHOENIX MUSIC INC', 'MOOD FUNK RECORDS', 'ARMADA MUSIC', 'ARMADA MUSIC ALBUMS', 'URBANA RECORDINGS', 'ARMADA SUBJEKT', 'TINTED RECORDS', 'CLUB SWEAT']"
DON DIABLO,https://www.beatstats.com/images/artist/large/16585.jpg?version=51715,https://www.instagram.com/don_diablo,"['HEXAGON', 'AXTONE RECORDS', ""SPINNIN' RECORDS"", 'UNIVERSAL MUSIC CANADA', 'NCS']"
ANYMA (OFC),https://www.beatstats.com/images/artist/large/985223.jpg?version=31031,https://www.instagram.com/anyma_(ofc),"['AFTERLIFE RECORDS', 'NERVOUS RECORDS', 'ATLANTIC RECORDS UK', 'POLYDOR RECORDS', 'GETTING OUT OUR DREAMS I....', 'ROSE AVENUE']"
SPACE 92,https://www.beatstats.com/images/artist/large/769906.jpg?version=15518,https://www.instagram.com/space_92,"['FILTH ON ACID', 'HILOMATIK', 'DRUMCODE', 'FACTORY 93 RECORDS', 'ARCANE MUSIC', 'FLYANCE RECORDS', 'RELOAD RECORDS']"
SONNY FODERA,https://www.beatstats.com/images/artist/large/63969.jpg?version=41566,https://www.instagram.com/sonny_fodera,"['SOLOTOKO', 'POLYDOR RECORDS', 'INSOMNIAC RECORDS', 'DEFECTED']"
EDX,https://www.beatstats.com/images/artist/large/42359.jpg?version=3626,https://www.instagram.com/edx,['PINKSTAR RECORDS']
JAMES HYPE,https://www.beatstats.com/images/artist/large/522539.jpg?version=44783,https://www.instagram.com/james_hype,"['STEREOHYPE', 'UNIVERSAL-ISLAND RECORDS....', 'THE CROSS RECORDS', 'TOOLROOM', 'INSOMNIAC RECORDS', 'MUSICAL FREEDOM', 'REPUBLIC RECORDS', 'TOMORROWLAND MUSIC']"
HOT SINCE 82,https://www.beatstats.com/images/artist/large/212422.jpg?version=50917,https://www.instagram.com/hot_since_82,"['DEFECTED', 'KNEE DEEP IN SOUND', 'HOT CREATIONS', 'CIRCUS RECORDINGS']"
GORGON CITY,https://www.beatstats.com/images/artist/large/248079.jpg?version=1252,https://www.instagram.com/gorgon_city,"['REALM RECORDS', 'POSITIVA', 'EXPERTS ONLY']"
ADAM BEYER,https://www.beatstats.com/images/artist/large/6824.jpg?version=3645,https://www.instagram.com/adam_beyer,"['DRUMCODE', 'ARMADA MUSIC', 'TRUESOUL']"
JAY LUMEN,https://www.beatstats.com/images/artist/large/15802.jpg?version=5405,https://www.instagram.com/jay_lumen,"['ARCANE MUSIC', 'FOOTWORK', 'UNCAGE']"
ADAM PORT,https://www.beatstats.com/images/artist/large/106408.jpg?version=27335,https://www.instagram.com/adam_port,"['KEINEMUSIK', 'MADORASINDAHOUSE RECORDS', 'WARNER RECORDS', 'DEFECTED', 'KEINEMUSIK UNDER EXCLUSI....', 'AFTERLIFE RECORDS', 'KEINEMUSIK UNDER EXCLUSI....', 'URBAN', 'PLAY IT DOWN', 'DISTROKID']"
W&W,https://www.beatstats.com/images/artist/large/67269.jpg?version=34854,https://www.instagram.com/w&w,"['SONY MUSIC CG', 'RAVE CULTURE', 'COLUMBIA/B1 RECORDINGS', 'SIGNATUNE', 'ARMADA MUSIC', 'UNIVERSAL MUSIC DISTRIBU....', ""SPINNIN' RECORDS"", 'DYSTOPIA (RAVE CULTURE)', 'MINISTRY OF SOUND RECORD....']"
DIMITRI VEGAS & LIKE MIKE,https://www.beatstats.com/images/artist/large/386098.jpg?version=25033,https://www.instagram.com/dimitri_vegas_&_like_mike,"['SMASH THE HOUSE OFFICIAL', 'SONY MUSIC CG', '2DUTCH RECORDS', 'MUSICAL FREEDOM', 'BSMNTTRAXX', 'PROTOCOL RECORDINGS', 'MINISTRY OF SOUND RECORD....']"
SOLARDO,https://www.beatstats.com/images/artist/large/497288.jpg?version=8372,https://www.instagram.com/solardo,"['ULTRA', 'FILTH ON ACID', 'TOOLROOM', 'HIGHER GROUND', 'SOLA']"
FRED AGAIN..,https://www.beatstats.com/images/artist/large/813817.jpg?version=17918,https://www.instagram.com/fred_again..,"['ATLANTIC RECORDS UK', 'OWSLA/ATLANTIC', 'ATLANTIC MMR', 'TEXT RECORDS']"
TUBE & BERGER,https://www.beatstats.com/images/artist/large/36641.jpg?version=34094,https://www.instagram.com/tube_&_berger,"['ZEHN RECORDS', 'VINTAGE CULTURE', 'MILK & SUGAR', 'KITTBALL']"
MARTIN GARRIX,https://www.beatstats.com/images/artist/large/185928.jpg?version=24222,https://www.instagram.com/martin_garrix,"['STMPD RCRDS', 'GETTING OUT OUR DREAMS I....', 'VIRGIN', 'COLUMBIA/LEGACY', 'UNIVERSAL REPUBLIC RECOR....', 'EPIC AMSTERDAM', ""SPINNIN' RECORDS""]"
BISCITS,https://www.beatstats.com/images/artist/large/591990.jpg?version=62127,https://www.instagram.com/biscits,"['WRONG.', 'INSOMNIAC RECORDS', 'ARMADA MUSIC', 'SELECTED.', 'REALM RECORDS', 'THRIVE MUSIC', 'DEFECTED']"
KEVIN MCKAY,https://www.beatstats.com/images/artist/large/83857.jpg?version=40459,https://www.instagram.com/kevin_mckay,['GLASGOW UNDERGROUND']
PROK & FITCH,https://www.beatstats.com/images/artist/large/42095.jpg?version=57883,https://www.instagram.com/prok_&_fitch,"['BLACK BOOK RECORDS', ""D'EAUPE"", 'ISSUES', 'MAISON MONO', 'MINDSHAKE RECORDS', 'RAWTRACKS', 'STEALTH RECORDS']"
KEINEMUSIK,https://www.beatstats.com/images/artist/large/112605.jpg?version=38935,https://www.instagram.com/keinemusik,"['KEINEMUSIK', 'GENESIS (BECAUSE)', 'DEFECTED', 'KEINEMUSIK UNDER EXCLUSI....', 'KEINEMUSIK UNDER EXCLUSI....', 'DISTROKID']"
RICHARD GREY,https://www.beatstats.com/images/artist/large/1612.jpg?version=64747,https://www.instagram.com/richard_grey,"['DISTURBED RECORDS', 'G*HIGH', 'CLASSIC CLUB']"
CALVIN HARRIS,https://www.beatstats.com/images/artist/large/32576.jpg?version=63927,https://www.instagram.com/calvin_harris,"['COLUMBIA (SONY)', 'FLY EYE RECORDS', 'DIRTEE STANK']"
CLOONEE,https://www.beatstats.com/images/artist/large/451186.jpg?version=16559,https://www.instagram.com/cloonee,"['HELLBENT RECORDS', 'HELIX RECORDS', 'BLACK BOOK RECORDS', 'THE WAVE MUSIC GROUP']"
R3HAB,https://www.beatstats.com/images/artist/large/115642.jpg?version=63330,https://www.instagram.com/r3hab,"['CYB3RPVNK', 'MDLBEAST RECORDS', 'MUSICAL FREEDOM', 'TOMORROWLAND MUSIC', ""SPINNIN' RECORDS"", 'RELENTLESS RECORDS', 'VIRGIN']"
JOSHWA,https://www.beatstats.com/images/artist/large/587859.jpg?version=9225,https://www.instagram.com/joshwa,"['NO BAD FRIDAYS RECORDS', 'FUNFAIR RECORDS', ""SPINNIN' DEEP"", 'BLACK BOOK RECORDS', 'HIGHER GROUND']"
MEDUZA,https://www.beatstats.com/images/artist/large/751844.jpg?version=35167,https://www.instagram.com/meduza,"['AETERNA RECORDS', 'AXTONE RECORDS', 'UNIVERSAL-ISLAND RECORDS....', 'DEFECTED', 'UNIVERSAL MUSIC LTDA.', 'ANJUNADEEP', 'ARMADA MUSIC']"
NICKY ROMERO,https://www.beatstats.com/images/artist/large/79366.jpg?version=22082,https://www.instagram.com/nicky_romero,"['PROTOCOL RECORDINGS', 'REVEALED RECORDINGS', 'COLUMBIA (SONY)', 'UNIVERSAL MUSIC LTDA.', 'MONSTERCAT']"
UMMET OZCAN,https://www.beatstats.com/images/artist/large/24875.jpg?version=9214,https://www.instagram.com/ummet_ozcan,['OZ RECORDS']
CRAZIBIZA,https://www.beatstats.com/images/artist/large/104932.jpg?version=6794,https://www.instagram.com/crazibiza,"['PORNOSTAR RECORDS', 'PORNOSTAR COMPS', 'HOUSEMATIC RECORDINGS']"
VICTOR RUIZ,https://www.beatstats.com/images/artist/large/105392.jpg?version=39068,https://www.instagram.com/victor_ruiz,"['VOLTA', 'ARMADA MUSIC', 'IBOGA RECORDS', 'DRUMCODE', 'FILTH ON ACID', 'NATURA VIVA BLACK', 'GLOBAL UNDERGROUND']"
CID,https://www.beatstats.com/images/artist/large/98876.jpg?version=20388,https://www.instagram.com/cid,"['NIGHT SERVICE ONLY (NSO)', 'ARMADA SUBJEKT', 'ALL U NEED RECORDS', 'TOOLROOM TRAX', 'SWEAT IT OUT']"
FEDDE LE GRAND,https://www.beatstats.com/images/artist/large/21498.jpg?version=33028,https://www.instagram.com/fedde_le_grand,"['DARKLIGHT RECORDINGS', 'ARMADA MUSIC', 'NERVOUS RECORDS']"
LISSAT,https://www.beatstats.com/images/artist/large/338796.jpg?version=34226,https://www.instagram.com/lissat,"['SUPERCIRCUS', 'TACTICAL RECORDS', 'NEXT-GEN-RECORDS', 'BOOTH BUSTERS', 'G*HIGH', 'MASTERMIX RECORDS', 'SPAZ', 'CULTURE VIBEZ', 'DARK MONDAYS', 'DIAMM', 'TIKTONE', 'BUZTED']"
PLEASUREKRAFT,https://www.beatstats.com/images/artist/large/117790.jpg?version=30307,https://www.instagram.com/pleasurekraft,"['KRAFTEK', 'DRUMCODE']"
CHARLOTTE DE WITTE,https://www.beatstats.com/images/artist/large/519996.jpg?version=30870,https://www.instagram.com/charlotte_de_witte,"['KNTXT', 'DIKI RECORDS CLASSICS', 'ÉPOQUE', 'NINETOZERO']"
JAMIE JONES,https://www.beatstats.com/images/artist/large/27044.jpg?version=41575,https://www.instagram.com/jamie_jones,"['HELIX RECORDS', 'HOT CREATIONS', 'TURBO RECORDINGS']"
BART SKILS,https://www.beatstats.com/images/artist/large/16211.jpg?version=26495,https://www.instagram.com/bart_skils,"['ARCANE MUSIC', 'DRUMCODE', 'ARMADA MUSIC', 'TERMINAL M', 'NATURA VIVA BLACK', 'FILTH ON ACID']"
KRYDER,https://www.beatstats.com/images/artist/large/173555.jpg?version=47584,https://www.instagram.com/kryder,"['TOMORROWLAND MUSIC', 'TOOLROOM TRAX', ""SPINNIN' RECORDS"", 'ARMADA MUSIC', 'PERFECT HAVOC', 'SPINNIN RECORDS', 'KRYTERIA RECORDS', 'SONGBIRD', 'MODENA RECORDS', 'BLACK HOLE RECORDINGS']"
FIREBEATZ,https://www.beatstats.com/images/artist/large/86254.jpg?version=49552,https://www.instagram.com/firebeatz,"['HYSTERIA', ""SPINNIN' RECORDS"", 'CONTROVERSIA', 'HELDEEP RECORDS', 'HEXAGON', 'SMASH THE HOUSE OFFICIAL', 'IGNITE RECORDINGS 2024']"
ADRIATIQUE,https://www.beatstats.com/images/artist/large/121765.jpg?version=24319,https://www.instagram.com/adriatique,"['X RECORDINGS', 'ROSE AVENUE', 'AFTERLIFE RECORDS', 'CERCLE RECORDS', 'OFF RECORDINGS', 'THE MOMENT', 'ROSE AVENUE/REPRISE', 'REPUBLIC RECORDS']"
NORA EN PURE,https://www.beatstats.com/images/artist/large/124254.jpg?version=40541,https://www.instagram.com/nora_en_pure,"['ENORMOUS TUNES', 'BIG BEAT RECORDS']"
PATRICK TOPPING,https://www.beatstats.com/images/artist/large/332183.jpg?version=1440,https://www.instagram.com/patrick_topping,"['TRICK', 'MINISTRY OF SOUND RECORD....']"
LUCAS & STEVE,https://www.beatstats.com/images/artist/large/185034.jpg?version=34650,https://www.instagram.com/lucas_&_steve,"['MUSICAL FREEDOM', 'SPINNIN RECORDS', '88RISING', ""SPINNIN' RECORDS"", 'TOMORROWLAND MUSIC']"
CRISTOPH,https://www.beatstats.com/images/artist/large/342275.jpg?version=37715,https://www.instagram.com/cristoph,"['CONSEQUENCE OF SOCIETY R....', 'PLAISIRS SONORES RECORDS', 'DIVIINE', 'ANJUNADEEP', 'PRYDA PRESENTS', 'DEFECTED', 'WHEN STARS ALIGN / THE N....', 'SHÈN RECORDINGS', 'KNEE DEEP IN SOUND', 'FACTORY 93 RECORDS', 'CASABLANCA NEW/REPUBLIC ....']"
BONTAN,https://www.beatstats.com/images/artist/large/300030.jpg?version=54506,https://www.instagram.com/bontan,"['NOTHING ELSE MATTERS', 'GOOD COMPANY', 'BLACK BOOK RECORDS', 'HIGHER GROUND', 'ONE TRIBE RECORDS', 'INSOMNIAC RECORDS', 'NO ART', 'REALM RECORDS', 'RELIEF', 'CLUB BAD']"
HI-LO,https://www.beatstats.com/images/artist/large/12692.jpg?version=48910,https://www.instagram.com/hi-lo,"['HILOMATIK', 'ARCANE MUSIC', 'DRUMCODE', 'FILTH ON ACID']"
MATT SASSARI,https://www.beatstats.com/images/artist/large/240267.jpg?version=61200,https://www.instagram.com/matt_sassari,"['SASS', 'CR2 RECORDS', 'TRUESOUL', 'STEREOHYPE', 'THERE IS A LIGHT', 'TOMORROWLAND MUSIC', 'DRUMCODE']"
YOTTO,https://www.beatstats.com/images/artist/large/114140.jpg?version=12557,https://www.instagram.com/yotto,"['ARMADA MUSIC', 'ODD ONE OUT', 'WHEN STARS ALIGN']"
MAU P,https://www.beatstats.com/images/artist/large/1072157.jpg?version=45576,https://www.instagram.com/mau_p,"['REPOPULATE MARS', 'EXPERTS ONLY', 'BLACK BOOK RECORDS', 'AFTERLIFE RECORDS', 'INSOMNIAC RECORDS', 'DEFECTED', 'COLUMBIA (SONY)', 'SWEDISH HOUSE MAFIA']"
SKRILLEX,https://www.beatstats.com/images/artist/large/121017.jpg?version=62712,https://www.instagram.com/skrillex,"['OWSLA/ATLANTIC', 'ATLANTIC RECORDS UK', 'OWSLA/BOYSNOIZE REC/ATL', 'OWSLA', 'MAJOR RECORDINGS/FFRR', 'EPIC/GRAND HUSTLE/CACTUS....', 'CREATE MUSIC GROUP', 'DISORDER', 'BIG BEAT RECORDS', 'ATLANTIC MMR', 'VIRGIN', 'ATLANTIC RECORDS', 'ULTRA', 'OWSLA/BIG BEAT/ATL', 'OWSLA / BIG BEAT', 'A$AP WORLDWIDE/POLO GROU....']"
WESTEND,https://www.beatstats.com/images/artist/large/576028.jpg?version=33154,https://www.instagram.com/westend,"['INSOMNIAC RECORDS', 'HIGHER GROUND', 'TRACE AMOUNTS', 'DIM MAK RECORDS', 'MUSICAL FREEDOM', 'WARNER MUSIC CENTRAL EUR....', 'D4 D4NCE', 'MINISTRY OF SOUND RECORD....', ""SPINNIN' RECORDS""]"
MAT.JOE,https://www.beatstats.com/images/artist/large/237183.jpg?version=64198,https://www.instagram.com/mat.joe,"['DFTD', ""THIS AIN'T BRISTOL"", 'PRIMA', 'UNIVERSAL MUSIC DIVISION....', 'ELROW MUSIC']"
SANDER VAN DOORN,https://www.beatstats.com/images/artist/large/12490.jpg?version=45992,https://www.instagram.com/sander_van_doorn,"['EXTATIC RECORDS', 'MUSICAL FREEDOM', 'SPINNIN RECORDS', 'DOORN RECORDS', ""SPINNIN' RECORDS""]"
NIC FANCIULLI,https://www.beatstats.com/images/artist/large/9120.jpg?version=58227,https://www.instagram.com/nic_fanciulli,"['DEFECTED', 'SAVED RECORDS', 'HOT CREATIONS', 'REKIDS']"
TALE OF US,https://www.beatstats.com/images/artist/large/95037.jpg?version=38570,https://www.instagram.com/tale_of_us,['SUPERSTITION RECORDS']
BOU,https://www.beatstats.com/images/artist/large/495969.jpg?version=3546,https://www.instagram.com/bou,"['EMI', 'GOSSIP', 'LOW DOWN DEEP RECORDINGS', 'UNIVERSAL-ISLAND RECORDS....', 'BREAKBEAT KAOS II', 'DNB ALLSTARS']"
ANNA (BR),https://www.beatstats.com/images/artist/large/171741.jpg?version=15815,https://www.instagram.com/anna_(br),"['ÉPOQUE', 'FIGURE', 'GLOBAL UNDERGROUND', 'PARRA FOR CUVA']"
ARMIN VAN BUUREN,https://www.beatstats.com/images/artist/large/2228.jpg?version=9446,https://www.instagram.com/armin_van_buuren,"['ARMADA MUSIC', 'ARMIND (ARMADA)', 'HILOMATIK', 'REVEALED RECORDINGS', 'UPPERGROUND', 'A STATE OF TRANCE', 'ARMADA MUSIC ALBUMS', 'CASABLANCA NEW/REPUBLIC ....', 'COLUMBIA/LEGACY', 'UNIVERSAL MUSIC LTDA.', 'SMASH THE HOUSE OFFICIAL', 'ROUGHSTATE']"
SHOWTEK,https://www.beatstats.com/images/artist/large/19680.jpg?version=31293,https://www.instagram.com/showtek,"['Q-DANCE RECORDS', 'DUTCH MASTER WORKS', 'SKINK', ""SPINNIN' RECORDS"", 'WHAT A MUSIC', 'ART OF CREATION']"
JULIAN JEWEIL,https://www.beatstats.com/images/artist/large/33395.jpg?version=30894,https://www.instagram.com/julian_jeweil,['FACTORY 93 RECORDS']
DUSKY,https://www.beatstats.com/images/artist/large/61194.jpg?version=41302,https://www.instagram.com/dusky,"['17 STEPS', 'FABRIC RECORDS', 'FOREIGN FAMILY COLLECTIV....', 'REFLECTIONS', 'ORBITAL RECORDINGS LTD', 'AUS MUSIC', 'MINE RECORDINGS', 'Y U QT, DISTRIBUTED BY L....']"
PAWSA,https://www.beatstats.com/images/artist/large/386381.jpg?version=11,https://www.instagram.com/pawsa,"['PAWZ', 'SOLID GROOVES RECORDS', 'CIRCOLOCO RECORDS', 'ALTRA MODA']"
KSHMR,https://www.beatstats.com/images/artist/large/388849.jpg?version=54277,https://www.instagram.com/kshmr,"['DHARMA WORLDWIDE', 'EXTATIC RECORDS']"
FERRECK DAWN,https://www.beatstats.com/images/artist/large/35290.jpg?version=14139,https://www.instagram.com/ferreck_dawn,"['DEFECTED', 'TOMORROWLAND MUSIC']"
